incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Badger Fire,TRUE,2020-08-13T11:22:45Z,2020-07-18T17:18:20Z,CAL FIRE Siskiyou ,Siskiyou,Badger Mountain Road and Hawkinsville Humbug Road,557,,-122.69296,41.79319,2020-07-28T18:21:00Z,7/28/20,7/18/20,N,TRUE,FALSE
Hog Fire,TRUE,2020-08-17T21:07:24Z,2020-07-18T17:28:18Z,CAL FIRE Lassen-Modoc Unit,Lassen," Hog Flat Reservoir, West of Susanville",9564,"Cooperating Agencies: Lassen National Forest, California Highway Patrol, Lassen County Sheriff, CALTRANS, County of Lassen, EMSA CAL-MAT, Susanville Police Department, CAL FIRE Lassen-Modoc Unit",-120.86375,40.420886,2020-08-17T21:07:00Z,8/17/20,7/18/20,N,TRUE,FALSE
Platina Fire,TRUE,2020-07-27T19:20:54Z,2020-07-19T17:05:41Z,CAL FIRE Shasta-Trinity Unit,Shasta,"Platina Rd and Big Foot Rd, southwest of Redding",340,"Cooperating Agencies: Shasta County Fire Dept., Millville Fire Protection District, Happy Valley Fire Protection District, CDCR, AMR, California National Guard, California Conservation Corps",-122.792645,40.462621,2020-07-27T19:20:00Z,7/27/20,7/19/20,N,TRUE,FALSE
Gold Fire,TRUE,2020-08-12T19:21:27Z,2020-07-20T14:12:25Z,Unified Command: CAL FIRE Lassen-Modoc Unit and BLM Northern CA District,Lassen,"Highway 139 and County Road A-2, South of Adin",22634,"Cooperating Agencies: California Department of Transportation, Modoc County Sheriff’s Office, California Highway Patrol, Lassen County Public Health, Shasta County Public Health, Surprise Valley Electric, California Conservation Corps, California Department of Corrections and Rehabilitation, Lassen County Office of Emergency Services, Lassen County Department of Public Works, Modoc County Office of Emergency Services, National Weather Service, Bureau of Land Management, Sierra Pacific Industries, CAL FIRE Lassen-Modoc Unit, BLM Northern CA District",-120.923293,41.11037,2020-08-12T19:21:00Z,8/12/20,7/20/20,N,TRUE,FALSE
Milepost 21 Fire,TRUE,2020-08-18T18:09:57Z,2020-07-20T15:44:53Z,Hoopa Valley Indian Reservation,Humboldt,"Highway 96 and Deerhorn Rd, southeast of Weitchpec",100,Hoopa Valley Indian Reservation,-123.6986222,41.1849445,2020-08-18T18:09:00Z,8/18/20,7/20/20,N,FALSE,FALSE
Feather Fire,TRUE,2020-07-22T14:40:34Z,2020-07-20T16:09:57Z,CAL FIRE/Butte County Fire Department,Butte,"Feather Ave and 18th Street, Oroville",30,,-121.604579,39.506597,2020-07-21T14:40:00Z,7/21/20,7/20/20,N,TRUE,FALSE
Holland Fire ,TRUE,2020-07-29T11:20:47Z,2020-07-20T18:04:37Z,East Contra Costa Fire Protection District,Contra Costa,"Delta Rd and Holland Tract Rd, northeast of Brentwood",75,East Contra Costa Fire Protection District,-121.620238,37.977309,2020-07-20T11:20:00Z,7/20/20,7/20/20,N,FALSE,FALSE
Easton Fire,TRUE,2020-08-04T16:01:51Z,2020-07-20T19:10:36Z,City of San Bernardino and San Bernardino National Forest   ,San Bernardino,"Highway 330 and East Highland Avenue, Northeast of San Bernardino",71,San Bernardino County Fire Department,-117.192142,34.135626,2020-07-21T16:01:00Z,7/21/20,7/20/20,N,FALSE,FALSE
Rabbit Fire ,TRUE,2020-07-21T07:19:09Z,2020-07-20T19:15:32Z,CAL FIRE Madera-Mariposa-Merced Unit ,Madera,"Road 603 and Road 600, East of Chowchilla",135,,-119.932391,37.118075,2020-07-21T07:18:00Z,7/21/20,7/20/20,N,TRUE,FALSE
Iris Fire,TRUE,2020-08-12T16:38:04Z,2020-07-21T19:26:58Z,Inyo National Forest,Mono,"Iris Meadow and Rock Creek Rd, South of Crowley Lake",120,Inyo National Forest,-118.711135,37.518879,2020-08-12T16:37:00Z,8/12/20,7/21/20,N,FALSE,FALSE
July Complex,TRUE,2020-11-10T14:27:47Z,2020-07-24T07:33:21Z,Modoc National Foresst ,"Siskiyou, Modoc","Caldwell Trail and Hill Road, Northwest of Tionesta",83261,Modoc National Forest ,-121.477,41.699,2020-08-20T14:27:00Z,8/20/20,7/24/20,N,FALSE,FALSE
Jack Fire,TRUE,2020-07-25T19:43:34Z,2020-07-24T17:32:36Z,CAL FIRE / Riverside County Fire ,Riverside,"Hwy 60 and Jackrabbit Trail, West of Beaumont",145,CAL FIRE / Riverside County Fire ,-117.033124,33.93327,2020-07-25T19:42:00Z,7/25/20,7/24/20,N,TRUE,FALSE
Hill Fire,TRUE,2020-07-25T07:09:24Z,2020-07-24T17:47:17Z,CAL FIRE Sonoma-Lake-Napa Unit ,Colusa,"Highway 20 and Highway 16, East of Wilbur Springs",138,,-122.359663,39.013591,2020-07-25T07:07:00Z,7/25/20,7/24/20,N,TRUE,FALSE
Karen Fire,TRUE,2020-08-01T07:23:51Z,2020-07-25T18:16:54Z,San Bernardino County Fire,Riverside,Sierra Avenue and Karen Lane in Riverside County. ,250,,-117.429598,34.028116,2020-07-28T07:21:00Z,7/28/20,7/25/20,N,TRUE,FALSE
Ione Fire ,TRUE,2020-07-29T11:26:43Z,2020-07-26T12:57:35Z,CAL FIRE Amador-El Dorado Unit,Sacramento,Ione Road at North end of Carbondale road in Sacramento County. ,51,,-121.044895,38.420382,2020-07-26T11:26:00Z,7/26/20,7/26/20,N,TRUE,FALSE
Cottonwood Fire,TRUE,2020-07-29T06:49:54Z,2020-07-27T09:28:40Z,CAL FIRE Madera-Mariposa-Merced Unit,Merced,"Hwy 152 and Romero Visitors Center, west of Santa Nella",788,,-121.101634,37.083806,,,7/27/20,N,TRUE,FALSE
