incident_county,incident_acres_burned,incident_cooperating_agencies,fire_started,fire_extinguished,days_of_fire
San Diego,255.0,Unified Command: CAL FIRE San Diego County Fire Authority and Cleveland National Forest - USFS,2017-07-22,2018-04-12,264.0
San Bernardino,20.0,San Bernardino National Forest - USFS ,2017-07-22,2018-01-09,171.0
El Dorado,13.0,CAL FIRE Amador-El Dorado Unit,2017-07-25,2018-01-09,168.0
San Luis Obispo,150.0,CAL FIRE San Luis Obispo unit,2017-07-24,2018-01-09,169.0
Yuba,39.0,CAL FIRE Nevada-Yuba-Placer Unit,2017-07-24,2018-01-09,169.0
Santa Clara,78.0,CAL FIRE Santa Clara Unit,2017-07-23,2018-01-09,170.0
San Bernardino,170.0,Unified Command: CAL FIRE San Bernardino-Inyo-Mono Unit / San Bernardino County Fire,2017-07-23,2018-01-09,170.0
Tehama,57.0,CAL FIRE Tehama-Glenn Unit,2017-07-28,2018-01-09,165.0
Nevada,15.0,CAL FIRE Nevada - Yuba - Placer Unit,2017-07-27,2018-01-09,166.0
Tuolumne,20.0,CAL FIRE Tuolumne-Calaveras Unit,2017-08-01,2018-01-09,161.0
Shasta,17.0,CAL FIRE Shasta Trinity Unit,2017-07-29,2018-01-09,164.0
Siskiyou,155.0,CAL FIRE Siskiyou Unit,2017-07-29,2018-01-09,164.0
El Dorado,236.0,CAL FIRE Amador-El Dorado Unit,2017-07-30,2018-01-09,163.0
Kern,1350.0,Sequoia National Forest,2017-07-30,2018-01-09,163.0
Sonoma,11.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-07-31,2018-01-09,162.0
San Bernardino,100.0,San Bernardino National Forest,2017-07-31,2018-01-09,162.0
Riverside,200.0,CAL FIRE / Riverside County Fire,2017-07-31,2018-01-09,162.0
Trinity,32.0,Shasta-Trinity National Forest,2017-08-02,2018-01-09,160.0
San Luis Obispo,70.0,CAL FIRE San Luis Obispo Unit,2017-08-02,2018-01-09,160.0
San Luis Obispo,460.0,CAL FIRE San Luis Obispo Unit / Los Padres National Forest,2017-08-02,2018-01-09,160.0
Modoc,0.0,Modoc National Forest,2017-07-23,2018-01-09,170.0
Humboldt,85.0,CAL FIRE Humboldt-Del Norte Unit,2017-08-03,2018-01-09,159.0
San Bernardino,325.0,CAL FIRE San Bernardino Unit / San Bernardino National Forest / City of Yucaipa ,2017-08-03,2018-01-09,159.0
Los Angeles,10.0,Angeles National Forest,2017-08-03,2018-01-09,159.0
Humboldt,30.0,CAL FIRE Humboldt-Del Norte Unit,2017-08-03,2018-01-09,159.0
Lake,62.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-08-08,2018-01-09,154.0
Riverside,122.0,CAL FIRE/Riverside County Fire,2017-08-04,2018-01-09,158.0
Kern,50.0,Kern County Fire Department / Sequoia National Forest,2017-08-05,2018-01-09,157.0
Plumas,1020.0,Tahoe National Forest,2017-08-06,2018-01-09,156.0
Lassen,530.0,Bureau of Land Management Northern California District,2017-08-06,2018-01-09,156.0
Lassen,859.0,Plumas National Forest,2017-08-06,2018-01-09,156.0
Riverside,92.0,CAL FIRE/Riverside County Fire/San Bernardino National Forest ,2017-08-07,2018-01-09,155.0
Monterey,82.0,CAL FIRE San Benito-Monterey,2017-08-07,2018-01-09,155.0
Trinity,4736.0,Six Rivers National Forest,2017-08-07,2018-01-09,155.0
Kern,338.0,CAL FIRE/Kern County Fire,2017-08-10,2018-01-09,152.0
Santa Clara,100.0,CAL FIRE Santa Clara Unit,2017-08-11,2018-01-09,151.0
Tehama,15.0,CAL FIRE Tehama-Glenn Unit,2017-08-10,2018-01-09,152.0
Napa,114.0,CAL FIRE Sonoma-Lake-Napa Unit ,2017-08-11,2018-01-09,151.0
Riverside,19.0,CAL FIRE/Riverside County Fire,2017-08-13,2018-01-09,149.0
San Luis Obispo,775.0,CAL FIRE San Luis Obispo/Department of Defense-Camp Roberts ,2017-08-11,2018-01-09,151.0
Siskiyou,41.0,Rogue-River-Siskiyou National Forest,2017-08-13,2018-01-09,149.0
Riverside,1044.0,CAL FIRE/Riverside County Fire,2017-08-13,2018-01-09,149.0
Mariposa,125.0,CAL FIRE Madera-Mariposa-Merced Unit ,2017-08-13,2018-01-09,149.0
Mariposa,8094.0,Yosemite National Forest,2017-08-01,2018-01-09,161.0
Mariposa,7000.0,Yosemite National Park ,2017-08-14,2018-01-09,148.0
Riverside,545.0,CAL FIRE Riverside Unit,2017-08-14,2018-01-09,148.0
Shasta,17.0,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, California Highway Patrol, Fall River Fire Protection District, McArthur Volunteer Fire Department, Fall River Mills Fire Department, Burney Fire Protection District",2017-08-17,2018-01-09,145.0
Riverside,168.0,CAL FIRE Riverside Unit,2017-08-19,2018-01-09,143.0
Yuba,867.0,Unified Command: CAL FIRE Nevada-Yuba-Placer Unit/Beale Air Force Base,2017-08-20,2018-01-09,142.0
,191125.0,Rogue River-Siskiyou National Forest,2017-07-12,2018-01-09,181.0
Plumas,186.0,Plumas National Forest,2017-08-20,2018-01-09,142.0
Siskiyou,78698.0,Klamath National Forest,2017-08-15,2018-01-09,147.0
Tulare,2295.0,Inyo National Forest,2017-08-02,2018-01-09,160.0
San Diego,200.0,CAL FIRE San Diego Unit,2017-08-21,2018-01-09,141.0
Siskiyou,3142.0,Six Rivers National Forest,2017-08-07,2018-01-09,155.0
Modoc,7697.0,Modoc National Forest,2017-08-03,2018-01-09,159.0
Alameda,200.0,California National Guard,2017-08-22,2018-01-09,140.0
Fresno,31.0,CAL FIRE / Fresno County Fire,2017-08-23,2018-01-09,139.0
San Diego,62.0,CAL FIRE San Diego Unit,2017-08-26,2018-01-09,136.0
Lassen,157.0,CAL FIRE Lassen-Modoc Unit,2017-08-26,2018-01-09,136.0
Tehama,40.0,CAL FIRE Tehama-Glenn Unit,2017-08-26,2018-01-09,136.0
Fresno,111.0,CAL FIRE / Fresno County Fire,2017-08-26,2018-01-09,136.0
Alameda,44.0,CAL FIRE Santa Clara Unit,2017-08-27,2018-01-09,135.0
Sonoma,18.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-08-27,2018-01-09,135.0
Riverside,46.0,CAL FIRE / USFS - Cleveland National Forest,2017-08-27,2018-01-09,135.0
Fresno,69.0,CAL FIRE / Fresno County Fire,2017-08-27,2018-01-09,135.0
Humboldt,40.0,Shasta Trinity National Forest,2017-08-28,2018-01-09,134.0
Amador,10.0,CAL FIRE Amador-El Dorado Unit,2017-08-28,2018-01-09,134.0
Tulare,36556.0,"CAL FIRE Tulare Unit / USFS - Sequoia National Forest, Tulare County Sheriff, California Highway Patrol, Caltrans, Tulare County EOC, PG&E, SoCal Edison",2017-08-29,2018-01-09,133.0
Siskiyou,54.0,Shasta-Trinity National Forest,2017-08-28,2018-01-09,134.0
Butte,4016.0,"CAL FIRE / Butte County Fire, Butte County Sheriff’s Office, Butte County Fire Department, Butte County, Cal OES, Bureau of Indian Affairs, California Department of Corrections and Rehabilitation, Red Cross, California Highway Patrol, US Forest Service, California Department of Parks and Recreation, PG & E, California Conservation Corps, North Valley Animal Disaster Group, Butte Medics, California Department of Transportation, South Feather Water and Power, Yuba County Sheriff, Yuba County OES and Sierra Pacific Industries.",2017-08-29,2018-08-30,366.0
Madera,12407.0,USFS - Sierra National Forest,2017-08-29,2018-01-09,133.0
Lassen,6042.0,Bureau of Land Mangement ,2017-08-29,2018-01-09,133.0
Siskiyou,55.0,CAL FIRE Siskiyou Unit,2017-08-29,2018-01-09,133.0
Mono,8925.0,Bureau of Land Management - Owens Valley District ,2017-08-29,2018-01-09,133.0
Modoc,28.0,CAL FIRE Lassen-Modoc Unit,2017-08-30,2018-01-09,132.0
Nevada,392.0,"CAL FIRE Nevada-Yuba-Placer Unit, Nevada Co Consolidated, NCSO, Nevada Co OES, CHP, Grass Valley Fire, North San Juan, Nevada City Fire, Campton, State Parks, CDCR, Penn Valley, Nevada Co OES, PG&E, Cal Trans, and Yuba Co S.O.",2017-08-30,2018-01-09,132.0
Modoc,27.0,CAL FIRE Lassen-Modoc Unit,2017-08-30,2018-01-09,132.0
Fresno,102.0,CAL FIRE Fresno-Kings Unit,2017-08-30,2018-01-09,132.0
Humboldt,34.0,CAL FIRE/Humboldt-Del Norte Unit,2017-08-31,2018-01-09,131.0
Trinity,21846.0,Shasta-Trinity National Forest,2017-08-30,2018-01-09,132.0
Riverside,85.0,CAL FIRE/Riverside County Fire Department,2017-08-31,2018-01-09,131.0
Los Angeles,30.0,Los Angeles County Fire,2017-08-31,2018-03-22,203.0
San Diego,130.0,CAL FIRE San Diego Unit,2017-09-01,2018-01-09,130.0
Stanislaus,5247.0,Stanislaus National Forest,2017-07-31,2018-01-09,162.0
Riverside,34.0,CAL FIRE / Riverside County Fire,2017-09-10,2018-01-09,121.0
Stanislaus,1749.0,Stanislaus National Forest ,2017-09-03,2018-01-09,128.0
Shasta,25.0,CAL FIRE Shasta-Trinity Unit,2017-09-01,2018-01-09,130.0
Kern,1319.0,Sequoia National Forest,2017-09-01,2018-01-09,130.0
Los Angeles,7194.0,"LA City, Burbank Fire Department",2017-09-01,2018-01-09,130.0
Madera,1035.0,"CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest, CAL FIRE, USFS Sierra National Forest, Madera County Sheriff, CDCR, Madera County Fire, CAL OES, North Fork Rancheria of Mono Indians of California, CHP, and PG&E.",2017-09-03,2018-01-09,128.0
Fresno,100.0,CAL FIRE Fresno-Kings Unit,2017-09-03,2018-01-09,128.0
Riverside,3874.0,"CAL FIRE Riverside Unit, CAL FIRE/Riverside, California Highway Patrol (CHP), City of Hemet FD, Idyllwild Fire Protection District, Orange County Fire Authority Copter, Riverside City FD, Riverside County Fire Department, San Bernardino County Fire Department, Southern California Edison, USFS – San Bernardino, Union Pacific Railroad",2017-09-02,2018-01-09,129.0
San Luis Obispo,120.0,CAL FIRE San Luis Obispo Unit,2017-09-03,2018-01-09,128.0
Lake,21.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-09-05,2018-01-09,126.0
Plumas,79.0,Plumas National Forest,2017-09-03,2018-01-09,128.0
Santa Clara,100.0,CAL FIRE Santa Clara Unit/Gilroy Fire Dept,2017-09-03,2018-01-09,128.0
Mariposa,680.0,CAL FIRE Madera-Mariposa-Merced Unit,2017-09-03,2018-01-09,128.0
Lassen,18618.0,BLM Northern California District ,2017-08-30,2018-01-09,132.0
San Luis Obispo,25.0,CAL FIRE San Luis Obispo Unit,2017-09-23,2018-01-09,108.0
Siskiyou,54.0,Shasta-Trinity National Forest ,2017-08-28,2018-01-09,134.0
Trinity,32.0,Shasta-Trinity National Forest,2017-08-02,2018-01-09,160.0
Tuolumne,39.0,CAL FIRE Tuolumne-Calaveras Unit,2017-09-19,2018-03-26,188.0
San Diego,25.0,CAL FIRE / San Diego County Fire Authority ,2017-09-07,2018-01-09,124.0
Mariposa,0.0,Yosemite National Park,2017-09-07,2018-01-09,124.0
San Luis Obispo,74.0,CAL FIRE San Luis Obispo Unit,2017-09-26,2018-01-09,105.0
Monterey,43.0,CAL FIRE San Benito-Monterey Unit,2017-09-11,2018-01-09,120.0
Plumas,2575.0,Plumas National Forest ,2017-09-05,2018-01-09,126.0
Fresno,10.0,CAL FIRE / Fresno County Fire,2017-09-11,2018-01-09,120.0
Lake,200.0,Mendocino National Forest,2017-09-12,2018-01-09,119.0
Butte,143.0,CAL FIRE / Butte County Fire,2017-09-28,2018-01-09,103.0
Siskiyou,39715.0,Rogue River-Siskiyou National Forest,2017-08-14,2018-01-09,148.0
San Mateo,50.0,"CAL FIRE San Mateo-Santa Cruz Unit , Woodside Fire Protection District, Kings Mountain Volunteer Fire Company, San Mateo County Sheriff’s Office, Mid-Peninsula Open Space District, CAL Water, and San Mateo County Parks.",2017-09-11,2018-01-09,120.0
Shasta,995.0,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, Shasta-Trinity National Forest, Pacific Gas and Electric, Shasta County Sheriff’s Office, Burney Fire Protection District",2017-09-12,2018-01-09,119.0
Del Norte,40.0,Six Rivers National Forest,2017-09-12,2018-01-09,119.0
Butte,12.0,CAL FIRE/Butte County Fire,2017-09-12,2018-01-09,119.0
Lake,58.0,USFS - Mendocino National Forest,2017-09-12,2018-01-09,119.0
Trinity,13417.0,Shasta Trinity National Forest,2017-09-12,2018-01-09,119.0
El Dorado,136.0,"CAL FIRE Amador-El Dorado Unit, CAL FIRE, El Dorado Hills Fire, Garden Valley Fire, Georgetown Fire, Rescue Fire",2017-09-17,2018-01-09,114.0
Madera,429.0,CAL FIRE Madera-Mariposa-Merced Unit,2017-09-18,2018-01-09,113.0
Mendocino,146.0,"CAL FIRE Mendocino Unit, Hopland Fire, Ukiah Fire, Redwood Valley Fire",2017-09-19,2018-01-09,112.0
Alameda,155.0,Unified Command: Alameda County Fireand CAL FIRE Santa Clara Unit,2017-09-19,2018-04-05,198.0
Fresno,237.0,CAL FIRE Fresno-Kings Unit,2017-09-19,2018-01-09,112.0
Madera,48.0,CAL FIRE Madera-Mariposa-Merced Unit,2017-09-20,2018-01-09,111.0
San Luis Obispo,245.0,"CAL FIRE San Luis Obispo Unit, Santa Barbara County Fire, Ventura County Fire, Cambria Fire Department",2017-09-20,2018-01-09,111.0
Mariposa,10.0,CAL FIRE Madera-Mariposa-Merced Unit,2017-09-20,2018-01-09,111.0
Butte,28.0,CAL FIRE / Butte County Fire,2017-09-25,2018-01-09,106.0
Solano,55.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-09-23,2018-01-09,108.0
Yuba,26.0,Wheatland Fire Protection District ,2017-09-26,2018-01-09,105.0
Alameda,22.0,Oakland City Fire Department,2017-09-26,2018-01-09,105.0
San Luis Obispo,105.0,CAL FIRE San Luis Obispo Unit,2017-09-26,2018-01-09,105.0
Orange,2662.0,CAL FIRE Riverside / USFS / Orange County Fire Authority / Anaheim Fire / Corona Fire Department,2017-09-25,2018-03-28,184.0
Tulare,18900.0,USFS - Sequoia National Forest,2017-09-27,2018-01-09,104.0
Santa Barbara,444.0,Santa Barbara County Fire,2017-09-29,2018-01-09,102.0
Kern,40.0,Kern County Fire,2017-09-29,2018-01-09,102.0
Riverside,35.0,CAL FIRE / Riverside County Fire,2017-09-29,2018-01-09,102.0
Solano,100.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-10-02,2018-01-09,99.0
Mariposa,17.0,CAL FIRE Madera-Mariposa-Merced Unit,2017-10-03,2018-01-09,98.0
Tehama,20.0,CAL FIRE Tehama-Glenn Unit ,2017-10-03,2018-01-09,98.0
Lake,87.0,"CAL FIRE Sonoma-Lake-Napa Unit, Northshore FD, Williams FD, BLM, USFS, South Lake FPD, Indian Valley FD and CA Dept. of Corrections and Rehabilitation",2017-10-06,2018-01-09,95.0
Shasta,40.0,CAL FIRE Shasta-Trintiy Unit,2017-10-08,2018-01-09,93.0
Sonoma,20.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-10-07,2018-01-09,94.0
Tehama,10.0,CAL FIRE Tehama-Glenn Unit,2017-10-08,2018-01-09,93.0
Humboldt,20.0,CAL FIRE Humboldt-Del Norte Unit,2017-10-08,2018-01-09,93.0
Butte,8417.0,CAL FIRE Butte Unit,2017-10-08,2018-02-09,124.0
"Napa, Solano",51624.0,"CAL FIRE Sonoma-Lake-Napa Unit, CHP, Napa County	OES, Sonoma	County OES, Solano County OES, California State Parks, PG&E	and	CDCR.",2017-10-08,2018-02-09,124.0
"Napa, Sonoma",36807.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-10-08,2018-02-09,124.0
"Napa, Sonoma",56556.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-10-08,2018-02-09,124.0
Napa,0.0,"CAL FIRE Sonoma-Lake-Napa Unit, Cooperating Agencies: Napa County OES, CHP, CDCR, Sonoma County OES, PG&E, California State Parks, and Solano County OES.",2017-10-08,2018-01-09,93.0
Butte,6151.0,"CAL FIRE/Butte County Fire, Nevada County Sheriff’s Office, Butte County Sheriff’s Office, Yuba County Sheriff’s Office, Cal OES, Red Cross, California Highway Patrol, California Department of Corrections and Rehabilitation, PG & E, California Department of Transportation and Nevada Irrigation District.",2017-10-09,2018-02-09,123.0
Yuba,9989.0,"CAL FIRE Nevada-Yuba-Placer Unit, Nevada County Sheriff’s Office, Butte County Sheriff’s Office, Yuba County Sheriff’s Office, Cal OES, Red Cross, California Highway Patrol, United States Forest Service, California Department of Corrections and Rehabilitation, PG & E, California Department of Transportation, Nevada Irrigation District, California Conservation Corps.",2017-10-08,2018-02-09,124.0
Nevada,76.0,CAL FIRE Nevada-Yuba-Placer Unit,2017-10-09,2018-02-09,123.0
Mendocino,36523.0,"CAL FIRE Mendocinio Unit, Mendocino County, CALTRANS, California Dept. of Corrections and Rehabilitation, American Red Cross, PG&E, National Weather Service, and California Conservations Corps.",2017-10-08,2018-02-09,124.0
Calaveras,130.0,CAL FIRE Tuolumne-Calaveras Unit,2017-10-09,2018-01-09,92.0
Sonoma,1660.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-10-09,2018-01-09,92.0
San Luis Obispo,45.0,Los Padres National Forest,2017-10-09,2018-01-09,92.0
Kern,50.0,Kern County Fire ,2017-10-26,2018-01-09,75.0
Lake,2207.0,"CAL FIRE Sonoma-Lake-Napa Unit, Mendocino County; Lake County; Lake County Sheriff’s Office; CAL OES; California Highway Patrol; CALTRANS; California Dept. of Corrections and Rehabilitation; American Red Cross; PG&E; United States Forest Service; California National Guard; National Weather Service; California Conservation Corps, BLM, and Bureau of Indian Affairs",2017-10-08,2018-02-09,124.0
Nevada,821.0,"CAL FIRE Nevada-Yuba-Placer Unit, Nevada County Sheriff’s Office, Butte County Sheriff’s Office, Yuba County Sheriff’s Office, Cal OES, Red Cross, California Highway Patrol, California Department of Corrections and Rehabilitation, PG & E, California Department of Transportation and Nevada Irrigation District.",2017-10-09,2018-02-09,123.0
Butte,150.0,CAL FIRE/Butte County Fire,2017-10-09,2018-01-09,92.0
Orange,9217.0,"Unified Command: CAL FIRE, Orange County, Anaheim City and Orange City, California Highway Patrol, Orange County Sheriff, Anaheim PD, Tustin PD, Orange PD, Irvine PD, Orange County Parks, California State Parks, Cal Trans, Orange County Animal Control, CCC, So Cal Gas, Irvine Ranch Water District, Transportation Corridor Agencies",2017-10-09,2018-04-05,178.0
Riverside,866.0,Cleveland National Forest,2017-10-26,2018-01-09,75.0
Tehama,194.0,CAL FIRE Tehama-Glenn Unit,2017-10-26,2018-01-09,75.0
Fresno,58.0,CAL FIRE Fresno-Kings Unit,2017-10-11,2018-01-09,90.0
Sonoma,17357.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-10-09,2018-02-09,123.0
Santa Cruz,391.0,"CAL FIRE San Mateo-Santa Cruz Unit , Santa Cruz County Sheriff, Santa Cruz County OES, Santa Cruz County FD, Santa Cruz City FD, American Red Cross of the Central Coast, California Highway Patrol, Aptos/La Selva FPD, Boulder Creek FPD, Branciforte FPD, Central FPD, Scotts Valley FPD, Zayante FPD, Watsonville City FD, San Mateo County OES, San Mateo County FD, Santa Clara County FD, North Bay Incident Management Team, Moffett Field FD, CAL FIRE Santa Clara, CAL FIRE San Benito-Monterey, CAL FIRE Amador-El Dorado, CAL FIRE San Luis Obispo, CAL FIRE Lassen-Modoc, and CAL FIRE Tuolumne-Calaveras.",2017-10-16,2018-01-09,85.0
Los Angeles,50.0,Angeles National Forest,2017-10-17,2018-01-09,84.0
Trinity,148.0,Six Rivers National Forest,2017-10-14,2018-01-09,87.0
Kern,183.0,Kern County Fire Department,2017-10-12,2018-01-09,89.0
San Diego,25.0,CAL FIRE San Diego Unit,2017-10-15,2018-01-09,86.0
Nevada,19.0,CAL FIRE Nevada-Yuba-Placer Unit,2017-10-10,2018-01-09,91.0
El Dorado,29.0,USFS - El Dorado National Forest,2017-10-10,2018-01-09,91.0
Riverside,23.0,CAL FIRE/ Riverside County Fire,2017-10-10,2018-01-09,91.0
San Bernardino,34.0,Unified Command: CAL FIRE / San Bernardino County Fire,2017-12-05,2018-01-09,35.0
San Bernardino,260.0,San Bernardino County Fire,2017-12-05,2018-01-09,35.0
Riverside,50.0,CAL FIRE/Riverside County Fire,2017-10-23,2018-01-09,78.0
San Bernardino,40.0,San Bernardino County Fire and Rancho Cucamonga Fire District,2017-10-24,2018-01-09,77.0
Kern,184.0,Kern County Fire,2017-10-15,2018-04-03,170.0
San Luis Obispo,73.0,CAL FIRE San Luis Obispo Unit,2017-10-13,2018-01-09,88.0
El Dorado,426.0,USFS - El Dorado National Forest,2017-10-13,2018-01-09,88.0
Lake,100.0,CAL FIRE Sonoma Lake Napa Unit,2017-10-14,2018-01-09,87.0
Sonoma,100.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-10-14,2018-04-05,173.0
Sonoma,0.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-10-09,2018-01-09,92.0
Monterey,31.0,CAL FIRE San Benito-Monterey Unit,2017-10-15,2018-01-09,86.0
Alameda,116.0,CAL FIRE Santa Clara Unit,2017-10-17,2018-01-09,84.0
San Diego,1088.0,DOD - Camp Pendleton,2017-10-17,2018-01-09,84.0
Stanislaus,13.0,CAL FIRE Tuolumne-Calaveras Unit,2017-10-18,2018-01-09,83.0
Los Angeles,6049.0,"Unified Command: CAL FIRE, Los Angeles County Fire, Ventura County Fire, Los Angeles County Sheriff's Office, and Ventura County Sheriff's Office, CAL FIRE, California Highway Patrol, City of Santa Clarita, Southern California Edison, California Resources Corporation, California Conservation Corps, SoCal Gas, Simi Valley PD, and LA County Public Works.",2017-12-05,2018-01-18,44.0
Los Angeles,15619.0,"Angeles National Forest, CAL FIRE, Los Angeles School Police, Los Angeles, County Sheriff, Los Angeles Police Department, Cal OES, Glendale Fire Department, California Department of Corrections, City of Los Angeles, Burbank Fire, California Conversation Corps, California Highway Patrol, Los Angeles Department of Transportation, Cal Trans, Los Angeles County Public Health, Los Angeles County Public Works, Southern California Edison, Southern California Gas, Los Angeles City Park Rangers, Los Angeles Department of Water, Power, and Security, Mountains Recreation Conservation Authority, Los Angeles County Animal Control, Los Angeles City Animal Services, Metro Bus, Red Cross, CARE, Los Angeles Department on Disability.",2017-12-05,2018-08-06,244.0
"Santa Barbara, Ventura",281893.0,"US Forest Service - Los Padres National Forest , CAL FIRE, Ventura County Fire, Ventura County Sheriff, Santa Barbara County Fire, Santa Barbara County Sheriff, City of Ventura Fire Department, City of Ventura Police Department, USFS/Los Padres National Forest, CAL OES, Red Cross, Southern California Edison, CHP, California Dept. of Corrections and Rehabilitation, SoCaGas, Crimson Pipeline, Wildfire Defense Systems, CA Resources Group, Santa Paula Police, Santa Paula Fire, Ventura County OES, Santa Barbara OEM",2017-12-04,2018-01-12,39.0
Riverside,40.0,CAL FIRE/Riverside County Fire and Riverside City Fire Department ,2017-12-04,2018-01-09,36.0
Tehama,43.0,CAL FIRE Tehama-Glenn Unit ,2017-11-02,2018-01-09,68.0
Mono,370.0,Humboldt - Toiyabe National Forest,2017-11-13,2018-01-09,57.0
San Diego,81.0,Camp Pendleton - Cleveland National Forest,2017-10-13,2018-01-09,88.0
Riverside,40.0,CAL FIRE / Riverside County Fire,2017-11-14,2018-01-09,56.0
Ventura,86.0,Ventura County Fire,2017-10-24,2018-01-09,77.0
San Luis Obispo,21.0,CAL FIRE San Luis Obispo Unit,2017-10-20,2018-01-09,81.0
San Benito,47.0,CAL FIRE San Benito-Monterey Unit,2017-11-25,2018-01-09,45.0
San Diego,100.0,CAL FIRE San Diego Unit,2017-10-21,2018-01-09,80.0
San Bernardino,99.0,CAL FIRE San Bernardino Unit,2017-11-29,2018-01-09,41.0
San Diego,4100.0,CAL FIRE San Diego Unit,2017-12-07,2018-01-09,33.0
Riverside,300.0,Murrieta Fire,2017-12-07,2018-01-09,33.0
Riverside,19.0,CAL FIRE/Riverside County Fire Department,2017-12-13,2018-01-09,27.0
Los Angeles,422.0,Los Angeles City Fire,2017-12-06,2018-01-23,48.0
Santa Barbara,14.0,Santa Barbara County Fire,2017-12-16,2018-01-09,24.0
Santa Barbara,14.0,Santa Barbara County Fire,2017-12-14,2018-01-09,26.0
Riverside,45.0,City of Riverside Fire Department,2017-12-21,2018-01-09,19.0
El Dorado,80.0,Bureau of Indian Affairs,2017-12-28,2018-01-09,12.0
Monterey,50.0,Fort Hunter Liggett Military Base,2018-02-07,2019-01-03,330.0
Inyo,2070.0,"Unified Command: CAL FIRE San Bernardino Unit and Inyo County Sheriff's Office, CAL FIRE, Inyo County Sheriff's Office, BLM, Inyo USFS, CAL OES, CHP, CDCR, CAL TRANS, Mono County Sheriff, Paradise Fire Dept., DWP, Mammoth Fire, Bishop Fire, Big Pine Fire, Independence Fire, Lone Pine Fire, Long Valley Fire, Wheeler Crest Fire, Red Cross and Southern California Edison.",2018-02-18,2019-01-03,319.0
Alameda,12.0,CAL FIRE Santa Clara Unit,2018-05-14,2019-01-04,235.0
Riverside,1261.0,CAL FIRE / Riverside County Fire,2018-05-17,2019-01-04,232.0
Riverside,15.0,CAL FIRE/Riverside County Fire Department,2018-04-15,2019-01-03,263.0
Santa Barbara,258.0,Channel Islands National Park,2018-03-27,2019-01-03,282.0
Shasta,11.0,CAL FIRE Shasta Trinity Unit,2018-03-27,2019-01-03,282.0
Riverside,21.0,CAL FIRE / Riverside County Fire,2018-04-09,2019-01-03,269.0
San Diego,12.0,CAL FIRE San Diego Unit,2018-05-10,2019-01-04,239.0
Siskiyou,127.0,CAL FIRE Siskiyou Unit,2018-05-09,2019-01-04,240.0
Riverside,18.0,CAL FIRE/Riverside County Fire Department,2018-04-22,2019-01-03,256.0
Plumas,20.0,USFS - Plumas National Forest,2018-04-26,2019-01-04,253.0
Santa Barbara,60.0,Santa Barbara County Fire,2018-05-17,2019-01-04,232.0
San Diego,18.0,Unified Command: CAL FIRE and Camp Pendleton Fire,2018-05-09,2019-01-04,240.0
San Diego,300.0,Department of Defense - Camp Pendleton ,2018-05-04,2019-01-04,245.0
Merced,1756.0,CAL FIRE Madera-Mariposa-Merced Unit ,2018-05-02,2019-01-04,247.0
Riverside,70.0,CAL FIRE/ Riverside County Fire,2018-05-04,2019-01-04,245.0
Riverside,15.0,CAL FIRE/ Riverside County Fire,2018-05-04,2019-01-04,245.0
Inyo,1265.0,"Unified Command: CAL FIRE San Bernardino Unit, Cal Trans, and Inyo County Sheriff's Office, United State Forest Service, Beareau of Land Management, California Highway Patrol, CAL TRANS, Inyo Sheriff, Los Angeles Dept. of Water and Power, Lone Pine Vounteer FD",2018-04-19,2019-01-03,259.0
Humboldt,0.0,USFS - Shasta-Trinity National Forest,2018-04-24,2019-01-03,254.0
Riverside,73.0,CAL FIRE / Riverside County Fire,2018-04-28,2019-01-04,251.0
Tulare,26.0,CAL FIRE Tulare Unit,2018-05-18,2019-01-04,231.0
Tehama,103.0,CAL FIRE Tehama-Glenn Unit,2018-05-18,2019-01-04,231.0
Siskiyou,27.0,CAL FIRE Siskiyou Unit,2018-05-19,2019-01-04,230.0
Merced,88.0,CAL FIRE Mariposa-Madera-Merced Unit,2018-05-20,2019-01-04,229.0
Napa,12.0,CAL FIRE Sonoma-Lake-Napa Unit,2018-05-21,2019-01-04,228.0
San Diego,59.0,CAL FIRE San Diego Unit,2018-05-22,2019-01-04,227.0
Madera,56.0,"CAL FIRE Madera-Mariposa-Merced Unit, Sierra National Forest",2018-05-23,2019-01-04,226.0
San Luis Obispo,100.0,CAL FIRE San Luis Obispo Unit,2018-05-24,2019-01-04,225.0
Fresno,108.0,CAL FIRE Fresno-Kings Unit,2018-05-26,2019-01-04,223.0
Santa Clara,16.0,CAL FIRE Santa Clara Unit,2018-05-27,2019-01-04,222.0
Riverside,10.0,CAL FIRE / Riverside County Fire,2018-05-28,2019-01-04,221.0
