incident_county,incident_acres_burned,incident_cooperating_agencies,fire_started,fire_extinguished,days_of_fire
Los Angeles,268.0,Angeles National Forest/Los Angeles County Fire,2013-09-23,2013-09-28,5.0
Modoc,97.0,Modoc National Forest ,2013-09-05,2013-09-24,19.0
Nevada,52.0,CAL FIRE Nevada-Yuba-Placer Unit,2013-08-31,2013-08-31,0.0
Butte,80.0,"CAL FIRE Butte Unit, CDCR, PG&E, El Medio Fire",2013-08-31,2013-09-01,1.0
Modoc,68.0,Modoc National Forest,2013-09-07,2013-09-05,-2.0
Tuolumne,257314.0,Stanislaus National Forest/Yosemite National Park,2013-08-17,2013-09-06,20.0
San Diego,263.0,"CAL FIRE San Diego Unit / Cleveland National Forest, CAL FIRE, USFS, CHP, San Diego Co. Sheriff, County Animal Control, SDG&E, Red Cross, SDCO Fire Authority",2013-09-09,2013-09-12,3.0
Lake,30.0,CAL FIRE Sonoma-Lake-Napa Unit,2013-09-15,2013-09-15,0.0
San Luis Obispo,94.0,CAL FIRE San Luis Obispo Unit,2013-09-24,2013-09-24,0.0
Mendocino,98.0,CAL FIRE Mendocino Unit,2013-09-28,2013-09-29,1.0
Napa,376.0,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Bureau of Reclamation",2013-10-03,2013-10-04,1.0
Sonoma,159.0,CAL FIRE Sonoma-Lake-Napa Unit,2013-10-04,2013-10-05,1.0
San Diego,2236.0,Camp Pendleton Marine Corps Base,2013-10-05,2013-10-09,4.0
Butte,305.0,CAL FIRE Butte Unit,2013-10-04,2013-10-05,1.0
Orange,40.0,Orange County Fire Authority,2013-10-06,2013-10-09,3.0
Yolo,163.0,CAL FIRE Sonoma-Lake-Napa Unit,2013-11-04,2013-11-04,0.0
Shasta,33.0,CAL FIRE Shasta-Trinity Unit,2013-11-07,2013-11-07,0.0
San Luis Obispo,51.0,"CAL FIRE San Luis Obispo Unit, United States Forest Service, Atascadero City Fire, Paso Robles Fire, San Luis Obispo City Fire, Templeton Fire, Morro Bay City Fire and Cayucos Fire Departments. As well as San Luis Obispo County Sheriff’s Department, and the California Highway Patrol.",2013-11-08,2013-11-09,1.0
Lake,120.0,CAL FIRE Sonoma-Lake-Napa Unit,2013-11-08,2013-11-10,2.0
Napa,190.0,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Napa County Fire, Rutherford VFD, Soda Canyon VFD, Napa County Sheriff’s Office, and California Dept. of Corrections and Rehabilitation",2013-11-21,2013-11-23,2.0
Ventura,64.0,Ventura County Fire Department,2013-11-14,2013-11-15,1.0
Mendocino,82.0,CAL FIRE Mendocino Unit,2013-11-22,2013-11-22,0.0
Sonoma,3505.0,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Napa County Fire, Geyserville FPD, Healdsburg FD, Cloverdale FPD, Santa Rosa FD, Sonoma Valley FRA, Glen Ellen FPD, Schell-Vista FPD, Forestville FPD, Graton FPD, Gold Ridge FPD, Occidental CSD, Bennett Valley FPD, Sebastopol FD, Rancho Adobe FPD, CHP, Cal Trans, Sonoma County Sheriff’s, CAL OES, California Department of Correction and Rehabilitation, Sonoma County Fire Services, Bureau of Land Management, United States Forest Service.",2013-11-22,2013-11-27,5.0
Lake,50.0,CAL FIRE Sonoma-Lake-Napa Unit,2013-11-23,2013-11-24,1.0
Lake,23.0,CAL FIRE Sonoma-Lake-Napa Unit,2013-11-23,2013-11-24,1.0
Santa Clara,40.0,CAL FIRE Santa Clara Unit,2013-12-31,2013-12-31,0.0
Tehama,865.0,Lassen National Forest,2014-01-02,2014-01-10,8.0
Los Angeles,1952.0,Angeles National Forest and LA County Fire Department,2014-01-16,2014-01-27,11.0
Humboldt,333.0,CAL FIRE Humboldt Del-Norte Unit,2014-01-04,2014-01-08,4.0
Fresno,106.0,CAL FIRE Fresno-Kings Unit,2014-01-25,2014-01-26,1.0
San Diego,125.0,USFS - Cleveland National Forest,2014-03-08,2014-03-11,3.0
Monterey,400.0,CAL FIRE San Benito-Monterey Unit,2014-03-19,2014-03-21,2.0
Riverside,57.0,CAL FIRE / Riverside County Fire,2014-03-28,2014-03-29,1.0
Inyo,113.0,"CAL FIRE San Bernardino Unit, Bishop Fire Dept, Inyo National Forest, Los Angeles Dept of Water and Power (LADWP), BLM - Desert District, CHP and Inyo Sheriff",2014-04-19,2014-04-21,2.0
San Bernardino,2143.0,"CAL FIRE San Bernardino / USFS / Rancho Cucamonga Fire, CAL FIRE, US Forest Service and Rancho Cucamonga Fire",2014-04-30,2014-05-05,5.0
San Diego,29.0,CAL FIRE San Diego Unit,2014-05-05,2014-05-06,1.0
San Diego,1548.0,CAL FIRE San Diego Unit/San Diego City Fire/Rancho Santa Fe Fire District,2014-05-13,2014-05-17,4.0
Monterey,75.0,CAL FIRE San Benito-Monterey Unit,2014-04-30,2014-05-01,1.0
Santa Barbara,632.0,"Santa Barbara County Fire, San Diego City, USFS, OES, Red Cross, San Diego PD, San Diego SO, San Diego School PD, CHP, CCC.",2014-05-13,2014-05-19,6.0
San Diego,5367.0,Marine Corps Base Camp Pendleton,2014-05-14,2014-05-19,5.0
San Diego,1457.0,Marine Corps Base Camp Pendleton,2014-05-16,2014-05-20,4.0
San Diego,380.0,CAL FIRE San Diego Unit,2014-05-14,2014-05-15,1.0
Shasta,50.0,CAL FIRE Shasta-Trinity Unit,2014-05-14,2014-05-15,1.0
San Diego,1995.0,San Marcos Fire / CAL FIRE San Diego Unit / Elfin Forest Fire Dept,2014-05-14,2014-05-22,8.0
San Diego,600.0,Carlsbad Fire Department,2014-05-14,2014-05-17,3.0
Lake,175.0,CAL FIRE Sonoma-Lake-Napa Unit,2014-05-25,2014-05-26,1.0
Tuolumne,487.0,CAL FIRE Tuolumne-Calaveras Unit,2014-06-04,2014-06-05,1.0
Tuolumne,269.0,CAL FIRE Tuolumne-Calaveras Unit,2014-06-05,2014-06-06,1.0
Fresno,25.0,CAL FIRE Fresno-Kings Unit,2014-06-11,2014-06-09,-2.0
Fresno,40.0,CAL FIRE Fresno-Kings Unit,2014-06-09,2014-06-11,2.0
Solano,70.0,CAL FIRE Sonoma-Lake-Napa Unit,2014-06-12,2014-06-13,1.0
Mariposa,130.0,CAL FIRE Madera-Mariposa-Merced Unit,2014-06-10,2014-06-13,3.0
Kern,3895.0,Sequoia National Forest,2014-06-13,2014-06-20,7.0
Tehama,225.0,CAL FIRE Tehama-Glenn Unit,2014-06-13,2014-06-13,0.0
Calaveras,120.0,CAL FIRE Tuolumne Calaveras Unit,2014-06-20,2014-06-21,1.0
Calaveras,85.0,"CAL FIRE Tuolumne Calaveras Unit, USFS, Central Fire, Mokelumne Hill Fire, San Andreas Fire, Angels Fire, Copperopolis Fire, Altaville/Melones Fire, PG&E, CHP, Calaveras County SO",2014-06-22,2014-06-24,2.0
"Napa, Lake",4300.0,"CAL FIRE Sonoma-Lake-Napa Unit, Napa County Sheriff's, CHP, United States Forest Service, CAL OES, Napa County OES, Lake County OES, PG&E, Bureau of Land Management, California Department of Corrections and Rehabilitation, Napa County Fire",2014-07-01,2014-07-09,8.0
El Dorado,30.0,CAL FIRE Amador-El Dorado Unit,2014-07-09,2014-07-09,0.0
Shasta,12661.0,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire, BLM, USFS, Shasta County Sheriff’s Office, CHP, Cal  OES, CDCR, CCC and Shasta County DPW.",2014-07-11,2014-07-26,15.0
Yolo,6488.0,"CAL FIRE Sonoma-Lake-Napa Unit, Winters FPD, Yolo County Sheriff, Lake County Sheriff, Napa County Fire, local government fire agencies of Napa, Solano and Yolo counties, CAL OES, California Department of Corrections and Rehabilitation, CHP, Bureau of Land Management, Red Cross, PG&E, Yolo County Animal Services, Cal Trans, City of Woodland, City of Winters, and Yolo County OES.",2014-07-04,2014-07-12,8.0
Modoc,1469.0,CAL FIRE Lassen-Modoc Unit / Modoc National Forest,2014-07-03,2014-07-07,4.0
Modoc,1651.0,Modoc National Forest,2014-07-01,2014-07-03,2.0
Trinity,15.0,Shasta - Trinity National Forest,2014-07-01,2014-07-03,2.0
San Diego,217.0,CAL FIRE San Diego Unit,2014-07-03,2014-07-06,3.0
Contra Costa,80.0,CAL FIRE Santa Clara Unit,2014-07-11,2014-07-12,1.0
Shasta,75.0,CAL FIRE Shasta-Trinity Unit,2014-07-05,2014-07-08,3.0
San Luis Obispo,47.0,CAL FIRE San Benito-Monterey Unit,2014-07-07,2014-07-08,1.0
Nevada,38.0,CAL FIRE Nevada-Yuba-Placer,2014-07-07,2014-07-08,1.0
Shasta,143.0,CAL FIRE Shasta-Trinity Unit,2014-07-09,2014-07-10,1.0
Kern,1680.0,Sequoia National Forest,2014-07-11,2014-07-21,10.0
Butte,72.0,CAL FIRE Butte Unit,2014-07-14,2014-07-16,2.0
"Amador, El Dorado",4240.0,"CAL FIRE Amador-El Dorado Unit, CHP, El Dorado Co SO, Amador SO, Cal OES, CDCR, El Dorado Co Animal Control, USFS, BLM, El Dorado Co DOT, CCC, Red Cross, PG&E, Cal Trans",2014-07-25,2014-08-02,8.0
Shasta,39736.0,CAL FIRE Lassen-Modoc Unit / USFS - Lassen National Forest,2014-07-30,2014-08-15,16.0
Modoc,13153.0,"CAL FIRE Lassen-Modoc Unit, CAL FIRE, USFS, BLM, CAL EMA, Local Government, Modoc County Sheriff, Lassen  County Sheriff, Shasta County Sheriff, Sierra Pacific Industries, WM Beatty and Associates, and CDCR.",2014-07-30,2014-08-13,14.0
Siskiyou,35302.0,CAL FIRE Siskiyou Unit / Oregon Dept. of Forestry / Oregon Office of The State Fire Marshal,2014-07-30,2014-08-18,19.0
